word	hyphenated	song	occurrence	syllables	context
highest	high·est	*	*	2	*
highlands	high·lands	*	*	2	*
horrors	hor·rors	*	*	2	*
hosannas	ho·san·nas	*	*	3	*
hours	hours	*	*	1	*
hov’ring	hov·’ring	*	*	2	*
hundreds	hun·dreds	*	*	2	*
hurricanes	hur·ri·canes	*	*	3	*
hurrying	hur·rying	164	1	2	"He heard it, saw it hurrying on."
hypocrites	hyp·o·crites	*	*	3	*
I’d	I’d	*	*	1	*
I’ll	I’ll	*	*	1	*
I’m	I’m	*	*	1	*
I’ve	I’ve	*	*	1	*
idols	i·dols	*	*	2	*
Immanuel	Im·man·u·el	*	*	4	*
Immanuel’s	Im·man·u·el’s	*	*	4	*
Impelled	Im·pell·ed	109	1	3	Impelled by His love.
impetuous	im·pet·uous	450	1	3	"Or impetuous down the cliff,"
impious	im·pious	354.1	1	2	"What impious num·bers, bold in sin,"
Indian	In·dian	348.2	1	2	"Swift as an Indian arrow flies,"
inferior	in·fe·rior	476	1	3	The reach of these in-fe-rior things:
int’rest	in·t’rest	*	*	2	*
interest	in·terest	62	1	2	"An interest in your prayers I crave,"
Israel’s	Is·rael’s	*	*	2	*
it’s	it’s	*	*	1	*
Jacob	Ja·cob	*	*	2	*
Jehovah	Je·ho·vah	*	*	3	*
Jerusalem	Je·ru·sa·lem	*	*	4	*
Jesus	Je·sus	*	*	2	*
Jesus’s	Je·sus·’s	*	*	3	*
John’s	John’s	*	*	1	*
Jordan	Jor·dan	*	*	2	*
Jordan’s	Jor·dan’s	*	*	2	*
Joshua’s	Jo·shua’s	*	*	2	*
journ’ying	jour·n’ying	*	*	2	*
journey’s	jour·ney’s	*	*	2	*
Judah’s	Ju·dah’s	*	*	2	*
Judea	Ju·de·a	*	*	3	*
king’s	king’s	*	*	1	*
know’st	know’st	*	*	1	*
knowest	know·est	*	*	2	*
Lamb’s	Lamb’s	*	*	1	*
lamps	lamps	*	*	1	*
leadeth	lead·eth	*	*	2	*
learned	learned	*	*	1	*
legions	le·gions	*	*	2	*
length’ning	length·’ning	*	*	2	*
let’s	let’s	*	*	1	*
life’s	life’s	*	*	1	*
light’s	light’s	*	*	1	*
ling’ring	lin·g’ring	*	*	2	*
list’ning	list·’ning	*	*	2	*
locusts	lo·custs	*	*	2	*
longer	long·er	*	*	2	*
Lord’s	Lord’s	*	*	1	*
louder	loud·er	*	*	2	*
loudest	loud·est	*	*	2	*
love’s	love’s	*	*	1	*
lovers	lo·vers	*	*	2	*
low’r	low’r	*	*	1	*
mak’st	mak’st	*	*	1	*
maker’s	mak·er’s	*	*	2	*
man’s	man’s	*	*	1	*
Manasseh’s	Ma·nas·seh’s	*	*	3	*
mansions	man·sions	*	*	2	*
Many	Many	108.2	1	1	Many a shining hour is gone
martyr’s	mar·tyr’s	*	*	2	*
Mary	Ma·ry	*	*	2	*
Mary’s	Ma·ry’s	*	*	2	*
master’s	mas·ter’s	*	*	2	*
meads	meads	*	*	1	*
meditations	med·i·ta·tions	*	*	4	*
melodious	me·lo·dious	*	*	3	His name is most sweetly melodious
mem’ries	mem·’ries	*	*	2	*
mem’ry	mem·’ry	*	*	2	*
memorial	me·mo·rial	164	1	3	These deeds shall thy memorial be:
memorials	me·mo·rials	565.1	1	3	Some fresh memorials of His grace.
merchants	mer·chants	*	*	2	*
mercy’s	mer·cy’s	*	*	2	*
Messiah’s	Mes·si·ah’s	*	*	3	*
millions	mil·lions	*	*	2	*
mine’s	mine’s	*	*	1	*
modes	modes	*	*	1	*
mold’ring	mold·’ring	*	*	2	*
moments	mo·ments	*	*	2	*
monarchs	mon·archs	*	*	2	*
Montgomery	Mont·go·mery	*	*	3	*
months	months	*	*	1	*
mortals	mor·tals	*	*	2	*
Moses	Mo·ses	*	*	2	*
mother’s	moth·er’s	*	*	2	*
mountains	moun·tains	*	*	2	*
mourners	mourn·ers	*	*	2	*
moved	mov·ed	268	1	2	David the king was grieved and moved
multitudes	mul·ti·tudes	*	*	3	*
murm’ring	mur·m’ring	*	*	2	*
mutual	mu·tual	*	*	2	"Where breathes in kindness mutual love,"
myriads	myr·i·ads	*	*	3	*
myst’ry	mys·t’ry	*	*	2	*
mysterious	mys·te·rious	351	1	3	The great mysterious King
name’s	name’s	*	*	1	*
nations	na·tions	*	*	2	*
nature’s	na·ture’s	*	*	2	*
ne’er	ne’er	*	*	1	*
nearer	near·er	*	*	2	*
Neglecting	Neglect·ing	495	1	2	Neglecting their salvation
neighb’ring	neigh·b’ring	*	*	2	*
Noah	No·ah	*	*	2	*
nobles	no·bles	*	*	2	*
now’s	now’s	*	*	1	*
num’rous	num·’rous	*	*	2	*
number	num·ber	*	*	2	*
o’er	o’er	*	*	1	*
o’erflowing	o’er·flow·ing	*	*	3	*
o’erspread	o’er·spread	*	*	2	*
o’ertake	o’er·take	*	*	2	*
O’erwhelmed	O’er·whelm·ed	496	1	3	"O’erwhelmed with sorrows for sin I will cry,"
obedience	o·be·dience	179	1	3	And on in the way of obedience to move.
obedient	o·be·dient	571	1	3	Give me Thine obedient heart.
ocean’s	o·cean’s	*	*	2	*
odors	o·dors	*	*	2	*
off’rings	of·f’rings	*	*	2	*
ones	ones	*	*	1	*
op’ning	op·’ning	*	*	2	*
ope	ope	*	*	1	*
opposed	op·pos·ed	495	1	3	And so they stand opposed
oppressed	op·pres·sed	121	1	3	Who are oppressed sore
others	oth·ers	*	*	2	*
palaces	pal·ac·es	*	*	3	*
pard’ning	par·d’ning	*	*	2	*
parting’s	part·ing’s	*	*	2	*
Paul	Paul	*	*	1	*
peril’s	per·il’s	*	*	2	*
period	pe·riod	*	*	2	No period then our joys shall know
pilgrim’s	pil·grim’s	*	*	2	*
pilgrims	pil·grims	*	*	2	*
pitying	pity·ing	531	1	2	"Look down, O Lord, with pitying eye,"
plains	plains	*	*	1	*
planets	plan·ets	*	*	2	*
pois’nous	pois·’nous	*	*	2	*
portals	por·tals	*	*	2	*
possessions	pos·ses·sions	*	*	3	*
pow’r	pow’r	*	*	1	*
pow’rs	pow’rs	*	*	1	*
praised	prais·ed	144	1	2	"He is worthy to be praised,"
prayer	prayer	*	*	1	*
prayers	prayers	*	*	1	*
preachers	preach·ers	*	*	2	*
precepts	pre·cepts	*	*	2	*
present	pre·sent	535	1	2	"And to Thy gracious eye present,"
present	pres·ent	510	1	2	"Ever present, truest friend,"
present	pres·ent	447	1	2	That were a present far too small;
present	pres·ent	395	1	2	Behold Him present with His aid
present	pres·ent	326	1	2	If Christ be present all is well.
present	pres·ent	323.2	1	2	It bids us seize the present hour
present	pres·ent	318	1	2	"For present joys, for blessings past"
Present	Pres·ent	123.1	1	2	Present their bright hills to my view.
princes	prin·ces	*	*	2	*
pris’n	pris’n	*	*	1	*
pris’ner	pris·’ner	*	*	2	*
proclaimed	pro·claim·ed	144	1	3	Free salvation is proclaimed
prodigal’s	pro·di·gal’s	*	*	3	*
prophet’s	pro·phet’s	*	*	2	*
prophets	pro·phets	*	*	2	*
pursuits	pur·suits	*	*	2	*
quick’ning	quick·’ning	*	*	2	*
radiance	ra·diance	532	1	2	A thousand radiant marks appear
radiant	ra·diant	*	*	2	"Break radiant through the shades of night,"
ransom’s	ran·som’s	*	*	2	*
rapt’rous	rap·t’rous	*	*	2	*
real	real	503	1	1	"No, not a drop of Thy real joy"
reason’s	reas·on’s	*	*	2	*
redeemed	re·deem·ed	322	1	3	And now the poor by Him redeemed
redeemer’s	re·deem·er’s	*	*	3	*
refuse	re·fuse	*	*	2	*
regions	re·gions	*	*	2	*
rejoiced	re·joic·ed	116	1	3	"My soul he hath healed, my heart hath rejoiced;"
requireth	re·quir·eth	*	*	3	*
rev’rence	rev·’rence	*	*	2	*
rev’rend	rev·’rend	*	*	2	*
ris’n	ris’n	*	*	1	*
rites	rites	*	*	1	*
roses	ro·ses	*	*	2	*
roving	ro·ving	*	*	2	*
ruin	ru·in	116	1	2	His love did surround me and saved me from ruin;
rul’st	rul’st	*	*	1	*
rulest	rul·est	*	*	2	*
sabachthani	sa·bach·tha·ni	*	*	4	*
sabbath	sab·bath	*	*	2	*
sabbaths	sab·baths	*	*	2	*
sake	sake	*	*	1	*
Salem’s	Sa·lem’s	*	*	2	*
salvation’s	sal·va·tion’s	*	*	3	*
Satan	Sa·tan	*	*	2	*
Satan’s	Sa·tan’s	*	*	2	*
saved	sav·ed	458	1	2	Others by Thy grace are saved
saved	sav·ed	56.2	1	2	Others by Thy grace are saved
saved	sav·ed	52.2	1	2	Others by Thy Word are saved
Savior’s	Sav·ior’s	*	*	2	*
scatt’ring	scat·t’ring	*	*	2	*
scenes	scenes	*	*	1	*
scriptures	scrip·tures	*	*	2	*
seas	seas	*	*	1	*
seemeth	seem·eth	*	*	2	*
seest	seest	*	*	1	*
seraphim’s	ser·a·phim’s	*	*	3	*
seraphs	ser·aphs	*	*	2	*
serpents	ser·pents	*	*	2	*
servant’s	ser·vant’s	*	*	2	*
servants	ser·vants	*	*	2	*
sev’n	sev’n	*	*	1	*
sev’nty	sev’n·ty	*	*	2	*
sev’ral	sev·’ral	*	*	2	*
she’d	she’d	*	*	1	*
she’s	she’s	*	*	1	*
shelt’ring	shel·t’ring	*	*	2	*
shepherd’s	shep·herd’s	*	*	2	*
Shiloh’s	Shi·loh’s	*	*	2	*
shineth	shin·eth	*	*	2	*
shiv’ring	shiv·’ring	*	*	2	*
show’r	show’r	*	*	1	*
show’rs	show’rs	*	*	1	*
showered	showered	466	1	1	And God has showered His blessing down
showeth	show·eth	*	*	2	*
Sinai’s	Si·na·i’s	35	1	3	"Lo, Sinai’s God is near,"
sinner’s	sin·ner’s	*	*	2	*
sinners	sin·ners	*	*	2	*
sitteth	sit·teth	*	*	2	*
slipp’ry	slip·p’ry	*	*	2	*
slumb’ring	slum·b’ring	*	*	2	*
smilings	smil·ings	*	*	2	*
Sodom’s	So·dom’s	*	*	2	*
soft’ning	soft·’ning	*	*	2	*
songs	songs	*	*	1	*
sons	sons	*	*	1	*
sorrow’s	sor·row’s	*	*	2	*
soul’s	soul’s	*	*	1	*
souls	souls	*	*	1	*
sov’reign	sov·’reign	*	*	2	*
Sov’reign’s	Sov·’reign’s	*	*	2	*
Spirit’s	Spi·rit’s	*	*	2	*
stamm’ring	stam·m’ring	*	*	2	*
standest	stand·est	*	*	2	*
statutes	stat·utes	*	*	2	*
Stephen’s	Ste·phen’s	*	*	2	*
straits	straits	*	*	1	*
strangers	strang·ers	*	*	2	*
streamed	stream·ed	322	1	2	"His precious blood to save us streamed,"
streets	streets	*	*	1	*
strown	strown	*	*	1	*
strugglest	strug·glest	*	*	2	*
suff’rer	suf·f’rer	*	*	2	*
suff’rings	suf·f’rings	*	*	2	*
summer’s	sum·mer’s	*	*	2	*
superior	su·pe·rior	61	1	3	"I’d rise superior to my pain,"
sweets	sweets	*	*	1	*
t’appear	t’ap·pear	*	*	2	*
t’insure	t’in·sure	*	*	2	*
taketh	tak·eth	*	*	2	*
talents	tal·ents	*	*	2	*
tedious	te·dious	*	*	2	long and tedious journey
tempestuous	tem·pes·tuous	*	*	3	"To steer through life’s tempestuous sea,"
temple’s	tem·ple’s	*	*	2	*
temptation’s	temp·ta·tion’s	*	*	3	*
temptations	temp·ta·tions	*	*	3	*
tempter’s	temp·ter’s	*	*	2	*
tender	ten·der	*	*	2	*
terrestrial	ter·res·trial	*	*	3	Let all the saints terrestrial sing
terrors	ter·rors	*	*	2	*
th’affrighted	th’af·fright·ed	*	*	3	*
th’American	th’A·mer·i·can	*	*	4	*
th’archangel	th’arch·an·gel	*	*	3	*
th’ecstatic	th’ec·sta·tic	*	*	3	*
th’eternal	th’e·ter·nal	*	*	3	*
th’Eternal	th’E·ter·nal	134	1	3	To praise th’Eternal Three.
th’immortal	th’im·mor·tal	*	*	3	*
th’incarnate	th’in·car·nate	*	*	3	*
th’oppressive	th’op·pres·sive	*	*	3	*
th’unchanging	th’un·chang·ing	*	*	3	*
that’s	that’s	*	*	1	*
there’s	there’s	*	*	1	*
they’d	they’d	*	*	1	*
they’ll	they’ll	*	*	1	*
they’re	they’re	*	*	1	*
they’ve	they’ve	*	*	1	*
thine’s	thine’s	*	*	1	*
things	things	*	*	1	*
thorns	thorns	*	*	1	*
Thou’st	Thou’st	*	*	1	*
thoughts	thoughts	*	*	1	*
thousands	thou·sands	*	*	2	*
tim’rous	tim·’rous	*	*	2	*
tombs	tombs	*	*	1	*
tott’ring	tot·t’ring	*	*	2	*
tow’r	tow’r	*	*	1	*
tow’ring	tow·’ring	*	*	2	*
tow’rs	tow’rs	*	*	1	*
Towards	Towards	84	1	1	Towards heaven thy native place
towns	towns	*	*	1	*
traitor’s	trai·tor’s	*	*	2	*
traitors	trai·tors	*	*	2	*
transgressions	trans·gres·sions	*	*	3	*
transient	tran·sient	507	1	2	"Man is a tender, transient flow’r,"
transient	tran·sient	32.2	1	2	So soon our transient comforts fly
trav’ler	trav·’ler	*	*	2	*
trav’lers	trav·’lers	*	*	2	*
trav’ling	trav·’ling	*	*	2	*
travelers	trav·el·ers	*	*	3	*
treasury	trea·sury	68.2	1	2	My never-failing treasury filled
trials	tri·als	*	*	2	*
trials	trials	469	1	1	In fier-y trials thou soon shalt see
tribes	tribes	*	*	1	*
trumpet’s	trum·pet’s	*	*	2	*
tumultuous	tu·mul·tuous	264	1	3	Great troubles with tumultuous noise
unbeclouded	un·be·cloud·ed	*	*	4	*
unbelievers	un·be·liev·ers	*	*	4	*
undismayed	un·dis·mayed	*	*	3	*
unexhausted	un·ex·haust·ed	*	*	4	*
ungentle	un·gen·tle	*	*	3	*
unmeasured	un·meas·ured	*	*	3	*
unpierced	un·pierced	*	*	2	*
unshaken	un·shak·en	*	*	3	*
upwards	up·wards	*	*	2	*
utt’reth	ut·t’reth	*	*	2	*
vale	vale	*	*	1	*
vales	vales	*	*	1	*
various	var·ious	*	*	2	"My God, my King, Thy various praise"
vessels	ves·sels	*	*	2	*
vice	vice	*	*	1	*
vict’ries	vic·t’ries	*	*	2	*
vict’ry	vic·t’ry	*	*	2	*
vict’ry’s	vic·t’ry’s	*	*	2	*
vigils	vig·ils	*	*	2	*
virgins	vir·gins	*	*	2	*
virtues	vir·tues	*	*	2	*
wand’rers	wan·d’rers	*	*	2	*
wand’ring	wan·d’ring	*	*	2	*
war’s	war’s	*	*	1	*
warblers	war·blers	*	*	2	*
Washington	Wash·ing·ton	*	*	3	*
wat’ry	wa·t’ry	*	*	2	*
watchmen	watch·men	*	*	2	*
wav’ring	wav·’ring	*	*	2	*
ways	ways	*	*	1	*
we’ll	we’ll	*	*	1	*
we’re	we’re	*	*	1	*
we’ve	we’ve	*	*	1	*
welt’ring	wel·t’ring	*	*	2	*
what’s	what’s	*	*	1	*
whate’er	what·e’er	*	*	2	*
whene’er	when·e’er	*	*	2	*
where’er	wher·e’er	*	*	2	*
who’re	who’re	*	*	1	*
Who’s	Who’s	*	*	1	*
who’ve	who’ve	*	*	1	*
wicked	wick·ed	*	*	2	*
with’ring	with·’ring	*	*	2	never-with’ring
woes	woes	*	*	1	*
won’t	won’t	*	*	1	*
wond’ring	won·d’ring	*	*	2	*
work’s	work’s	*	*	1	*
world’s	world’s	*	*	1	*
worlds	worlds	*	*	1	*
years	years	*	*	1	*
you’ll	you’ll	*	*	1	*
Zion	Zi·on	*	*	2	*
Zion’s	Zi·on’s	*	*	2	*
