Page in 1991	Sort	Page in 2025	Ready	Title	Text Meter	Scripture	Key	Text Attribution	Tune Attribution	Copyright
58	58	58	TRUE	PISGAH	C.M.	Lord, remember me.—Luke 23:42.	A♭ Major	Richard Burnham, 1783.	James C. Lowry, 1817. Second treble Johnson’s Tennessee Harmony, 1818.	[no copyright]
59	59	59	TRUE	HOLY MANNA	8s & 7s D.	Worship the Lord in the beauty of holiness.—Ps. 29:2.	C Major	George Askins, 1817.	Arr. William Moore, 1825. Alto W. M. Cooper, 1902.	[no copyright]
60	60	60	TRUE	DAY OF WORSHIP	L.M.D.	When ye come together, every one of you hath a psalm, hath a doctrine, hath a tongue, hath a revelation, hath an interpretation.—1 Cor. 14:26.	G Major	The Hesperian Harp, 1848.	B. F. and E. K. Davis, 1848. Alto S. M. Denson, 1911.	[no copyright]
61	61	61	TRUE	SWEET RIVERS	C.M.D.	And he shewed me a pure river of water of life, clear as crystal, proceeding out of the throne of God and of the Lamb.—Rev. 22:1.	F Major	John Adam Granade, 1804.	William Moore, 1825. Alto William Hauser, 1848.	[no copyright]
62	62	62	TRUE	PARTING HAND	L.M.D.	But as touching brotherly love ye need not that I write unto you: for ye yourselves are taught of God to love one another.—1 Thess. 4:9.	G Major	Original and Select Hymns, 1820.	Arr. William Walker, 1835. Alto William Hauser, 1848.	[no copyright]
63	63	63	TRUE	CORONATION	C.M.	The four and twenty elders fall down before him that sat on the throne, and worship him.—Rev. 4:10.	G Major	Edward Perronet, 1779.	Oliver Holden, 1793.	[no copyright]
64	64	64	TRUE	NASHVILLE	C.P.M.	Thou shalt be like a watered garden, and like a spring of water, whose waters fail not.—Isa. 58:11.	A Major	The Christian’s Duty, 1801.	Arr. Alexander Johnson, 1821. Alto W. M. Cooper, 1902.	[no copyright]
65	65	65	TRUE	SWEET PROSPECT	C.M.	They shall obtain gladness and joy; and sorrow and mourning shall flee away.—Isa. 51:11.	E Minor	Samuel Stennett, 1787.	Arr. William Walker, 1835. Alto 1867.	[no copyright]
66	66	66	TRUE	JORDAN	C.M.D.	Thine eyes ... shall behold the land.—Isa. 33:17.	A Major	Isaac Watts, 1707.	William Billings, 1786.	[no copyright]
67	67	67	TRUE	COLUMBUS	C.M.D.	But he knoweth the way that I take: when he hath tried me, I shall come forth as gold.—Job 23:10.	F♯ Minor	Mercer’s Cluster, 1810.	Arr. The Southern Harmony, 1835. Alto William Walker, 1867.	[no copyright]
68t	68.1	68.1	TRUE	SALEM	L.M.	Christ died for our sins.—1 Cor. 15:3.	B Minor	Isaac Watts, 1709, alt. Martin Madan, 1760.	Stephen Bovell, 1817.	[no copyright]
68b	68.2	68.2	TRUE	ORTONVILLE	C.M.	Thy name is as ointment poured forth.—Song of Sol. 1:3.	B♭ Major	John Newton, 1779.	Arr. B. F. White, 1850, from Thomas Hastings, 1837.	[no copyright]
69t	69.1	69.1	TRUE	MINISTER’S FAREWELL	C.M.D.	A friend loveth at all times.—Prov. 17:17.	G Major	A Collection of Sacred Ballads, 1790.	Wyeth’s Repository, Part Second, 1813.	[no copyright]
69b	69.2	69.2	TRUE	FAREWELL TO ALL	L.M.D.	Prepare to meet thy God.—Amos 4:12.	G Minor	Original and Select Hymns, 1820.	J. P. Rees, 1859. Alto W. M. Cooper, 1902.	[no copyright]
70t	70.1	70.1	TRUE	GAINSVILLE	7s.	Humble yourselves therefore under the mighty hand of God.—1 Pet. 5:6.	A Major	William Hammond, 1745.	W. D. Jones, 1870. Alto W. M. Cooper, 1902.	[no copyright]
70b	70.2	70.2	TRUE	SAVE, MIGHTY LORD	L.M.H.	The Lord ... was received up into heaven, and sat on the right hand of God.—Mark 16:19.	F Minor	John Cennick, 1743.	J. A. and J. F. Wade, 1854.	[no copyright]
71	71	71	TRUE	LEANDER	C.M.D.	Behold, we have forsaken all, and followed thee.—Matt. 19:27.	A Minor	Isaac Watts, 1707.	Johnson’s Tennessee Harmony, 1818. Alto Introduction to Sacred Music, 1835.	[no copyright]
72t	72.1	72.1	TRUE	THE WEARY SOUL	C.M.D.	Come unto me, all ye that labour and are heavy laden, and I will give you rest.—Matt. 11:28.	F Major	John Adam Granade, 1804.	Arr. J. T. White, 1844. Alto William Walker, 1867.	[no copyright]
72b	72.2	72.2	TRUE	BELLEVUE	11s.	He hath said, I will never leave thee, nor forsake thee.—Heb. 13:5.	B♭ Major	Rippon’s Selection, 1787.	Arr. Z. Chambless, 1844. Alto B. P. Poyner, 1902.	[no copyright]
73t	73.1	73.1	TRUE	CUSSETA	L.M.	As far as the east is from the west, so far hath he removed our transgressions from us.—Ps. 103:12.	B♭ Major	Isaac Watts, 1719.	John Massengale, 1844. Alto W. M. Cooper, 1902.	[no copyright]
73b	73.2	73.2	TRUE	ARLINGTON	C.M.	Whosoever therefore shall be ashamed of me and of my words ... of him also shall the Son of man be ashamed.—Mark 8:38.	G Major	Isaac Watts, 1709.	Arr. Ralph Harrison, 1784, from Thomas Arne, 1762.	[no copyright]
74t	74.1	74.1	TRUE	THE ENQUIRER	C.M.D.	Let me not be ashamed, O Lord; for I have called upon thee.—Ps. 31:17.	G Minor	Isaac Watts, 1709.	B. F. White, 1844. Alto W. M. Cooper, 1902.	[no copyright]
74b	74.2	74.2	TRUE	KING OF PEACE	7s.	I will not let thee go, except thou bless me.—Gen. 32:26.	A Minor	John Newton, 1779.	Arr. F. Price, 1835. Alto The Christian Harmony, 1867.	[no copyright]
75	75	75	TRUE	I WOULD SEE JESUS	C.M.D.	And they shall see his face.—Rev. 22:4.	F Major	v. 1 The Organ, 1854. v. 2–3 Horatius Bonar, 1846.	Leonard P. Breedlove, 1854. Alto S. M. Denson, 1911.	[no copyright]
76t	76.1	76.1	TRUE	HOLINESS	6 lines, 7s.	If any of you lack wisdom, let him ask of God.—James 1:5.	G Major	John Cennick, 1755.	E. J. King, 1844. Alto S. M. Denson, 1911.	[no copyright]
76b	76.2	76.2	TRUE	DESIRE FOR PIETY	L.M.H.	He that saith he abideth in him ought himself also so to walk, even as he walked.—1 John 2:6.	C Major	Trivett’s Hymns and Spiritual Songs, 1772.	B. F. White, 1844. Alto William Walker, 1867.	[no copyright]
77t	77.1	77.1	TRUE	THE CHILD OF GRACE	C.M.D.	In whom we have redemption through his blood, even the forgiveness of sins.—Col. 1:14.	A Minor	Charles Wesley, 1759.	Arr. E. J. King, 1844. Alto W. M. Cooper, 1902.	[no copyright]
77b	77.2	77.2	TRUE	HOLCOMBE	C.M.	Evening, and morning, and at noon, will I pray, and cry aloud: and he shall hear my voice.—Ps. 55:17.	C Major	Isaac Watts, 1719.	Charlene Wallace, 1986.	Copyright 1991 Sacred Harp Publishing Company.
78	78	78	TRUE	STAFFORD	S.M.	Unto them that look for him shall he appear ... unto salvation.—Heb. 9:28.	A Major	Isaac Watts, 1719.	Daniel Read, 1782. Alto Raymond C. Hamrick, 1971.	[no copyright]
79	79	79	TRUE	THE OLD SHIP OF ZION	P.M.	When thou passest through the waters, I will be with thee.—Isa. 43:2.	F Major	Arr. T. W. Carter, 1844.	T. W. Carter, 1844. Alto S. M. Denson, 1911.	[no copyright]
n459	10459	80.1	TRUE	TROUBLES OVER	L.M.H.	Fear thou not; for I am with thee: be not dismayed; for I am thy God.—Isa. 41:10.	G Minor	Anna Laetitia Barbauld, 1809.	H. S. Rees, 1870.	[no copyright]
80b	80.2	80.2	TRUE	SERVICE OF THE LORD	L.M.H.	For ye serve the Lord Christ.—Col. 3:24.	F Major	The Baltimore Collection, 1801.	E. J. King, 1844. Alto S. M. Denson, 1911.	[no copyright]
81t	81.1	81.1	TRUE	BEACH SPRING	8s, 7s & 4s.	The Lord is nigh unto them that are of a broken heart.—Ps. 34:18.	A Major	Joseph Hart, 1759.	B. F. White, 1844. Alto W. M. Cooper, 1902.	[no copyright]
n635	10635	81.2	TRUE	WINDLESHAM	L.M.	Blessed be ye poor: for yours is the kingdom of God.—Luke 6:20.	A Major	Thomas Kelly, 1804.	Steven Brett, 2016.	Copyright 2025 Sacred Harp Publishing Company.
82t	82.1	82.1	TRUE	BOUND FOR CANAAN	7s & 6s.	Though now ye see him not, yet believing, ye rejoice with joy unspeakable and full of glory.—1 Pet. 1:8.	B♭ Major	John Leland, 1793.	E. J. King, 1844. Alto W. M. Cooper, 1902.	[no copyright]
82b	82.2	82.2	TRUE	EDGEFIELD	8s.	There is none upon earth that I desire beside thee.—Ps. 73:25.	F♯ Minor	John Newton, 1779.	Arr. J. T. White, 1844.	[no copyright]
83t	83.1	83.1	TRUE	VALE OF SORROW	P.M.	For we are saved by hope.—Rom. 8:24.	A Minor	Battle’s Collection, 1814.	B. F. White, 1844. Alto W. M. Cooper, 1902.	[no copyright]
83b	83.2	83.2	TRUE	THE DYING MINISTER	C.M.	In due season we shall reap, if we faint not.—Gal. 6:9.	F Major	Berryman Hicks, 1835.	Edmund Dumas, 1854. Alto S. M. Denson, 1911.	[no copyright]
84	84	84	TRUE	AMSTERDAM	P.M.	Arise, shine; for thy light is come, and the glory of the Lord is risen upon thee.—Isa. 60:1.	G Major	Robert Seagrave, 1742.	The Foundery Collection, 1742.	[no copyright]
85	85	85	TRUE	THE MORNING TRUMPET	7s & 6s.	There shall be a resurrection of the dead, both of the just and unjust.—Acts 24:15.	F♯ Minor	John Leland, 1793.	B. F. White, 1844. Alto W. M. Cooper, 1902.	[no copyright]
86	86	86	TRUE	POLAND	C.M.	I become like them that go down into the pit.—Ps. 28:1.	C♯ Minor	Isaac Watts, 1719.	Timothy Swan, 1785.	[no copyright]
87	87	87	TRUE	SWEET CANAAN	L.M.H.	I will give it unto you to possess it, a land that floweth with milk and honey.—Lev. 20:24.	F Major	Mead’s General Selection, 1807.	Arr. E. J. King, 1844. Alto W. M. Cooper, 1902.	[no copyright]
88t	88.1	88.1	TRUE	DONE WITH THE WORLD	L.M.H.	God was manifest in the flesh ... received up into glory.—1 Tim. 3:16.	F Major	John Cennick, 1743.	B. F. White, 1844. Alto S. M. Denson, 1911.	[no copyright]
88b	88.2	88.2	TRUE	MOUNT ZION	C.M.	While I live will I praise the Lord: I will sing praises unto my God while I have any being.—Ps. 146:2.	F Major	Charles Wesley, 1739.	John Massengale, 1844. Alto S. M. Denson, 1911.	[no copyright]
89	89	89	TRUE	THE CHURCH’S DESOLATION	8s & 7s D.	And great fear came upon all the church, and upon as many as heard these things.—Acts 5:11.	B♭ Major	William Arnold, 1844.	Arr. J. T. White, 1844. Alto W. M. Cooper, 1902.	[no copyright]
90	90	90	TRUE	LOOK OUT	8s & 7s D.	Be sober, be vigilant; because your adversary the devil, as a roaring lion, walketh about, seeking whom he may devour.—1 Pet. 5:8.	A Major	The Christian Pocket Companion, 1805.	B. F. White, 1844. Alto Anna Blackshear, 1902.	[no copyright]
91	91	91	TRUE	ASSURANCE	C.M.	And the ransomed of the Lord shall return, and come to Zion with songs and everlasting joy upon their heads.—Isa. 35:10.	A Major	Isaac Watts, 1719.	William Billings, 1781. Alto S. M. Denson, 1911.	[no copyright]
92	92	92	TRUE	BURK	7s & 6s.	Christ ... hath abolished death, and hath brought life and immortality to light through the gospel.—2 Tim. 1:10.	G Major	Battle’s Collection, 1814.	B. F. White, 1844.	[no copyright]
93	93	93	TRUE	FROZEN HEART	L.M.	A new heart also will I give you, and a new spirit will I put within you: and I will take away the stony heart out of your flesh.—Ezek. 36:26.	F Major	Joseph Hart, 1762.	Arr. E. J. King, 1844. Alto S. M. Denson, 1911.	[no copyright]
94	94	94	TRUE	NEVER PART	C.M.	If we suffer, we shall also reign with him.—2 Tim. 2:12.	F Major	Edmund Jones, 1787.	Arr. John Carwell, 1850. Alto S. M. Denson, 1911.	[no copyright]
95	95	95	TRUE	VERNON	L.P.M.	And he said, I will not let thee go, except thou bless me.—Gen. 32:26.	E Minor	Charles Wesley, 1742.	Arr. Amzi Chapin, 1813.	[no copyright]
96	96	96	TRUE	FEW HAPPY MATCHES	C.P.M.	Purify your hearts, ye double minded.—James 4:8.	A Major	Lady Huntingdon’s Collection of Hymns, 1774.	Arr. B. F. White and E. J. King, 1844, from Crane, 1788. Alto S. M. Denson, 1911.	[no copyright]
97	97	97	TRUE	WE’LL SOON BE THERE	L.M.H.	Blessed is he that cometh in the name of the Lord; Hosanna in the highest.—Matt. 21:9.	G Major	Mead’s General Selection, 1807.	Arr. Oliver Bradfield, 1859. Alto J. P. Rees, 1859.	[no copyright]
98	98	98	TRUE	DULL CARE	C.M.	And when the people complained, it displeased the Lord.—Num. 11:1.	B♭ Major	Arr. E. J. King, 1844, from “Polydore,” 1775.	Arr. E. J. King, 1844. Alto S. M. Denson, 1911.	[no copyright]
99	99	99	TRUE	GOSPEL TRUMPET	8,8,8,8,8,4.	Go ye into all the world, and preach the gospel to every creature.—Mark 16:15.	A Major	A Collection of Sacred Ballads, 1790.	Arr. E. J. King, 1844. Alto S. M. Denson, 1911.	[no copyright]
100	100	100	TRUE	THE BOWER OF PRAYER	11s.	And when he had sent them away, he departed into a mountain to pray.—Mark 6:46.	A Major	Thomas Ormsby, 1823.	Arr. E. J. King, 1844. Alto Anna Blackshear, 1902.	[no copyright]
101t	101.1	101.1	TRUE	CANAAN’S LAND	C.M.D.	He maketh the storm a calm.—Ps. 107:29.	A Major	Lloyd’s Hymns, 1811.	E. J. King, 1844. Alto The Christian Harmony, 1873.	[no copyright]
101b	101.2	101.2	TRUE	HOLY CITY	7s & 6s D.	A city which hath foundations, whose builder and maker is God.—Heb. 11:10.	F♯ Minor	Mead’s General Selection, 1807.	B. F. White, 1844. Alto W. M. Cooper, 1902.	[no copyright]
102	102	102	TRUE	FULFILLMENT	9s & 8s D.	But I will shew thee that which is noted in the scripture of truth.—Dan. 10:21.	E Minor	John Adam Granade, 1804.	E. J. King, 1844. Alto The Christian Harmony, 1867.	[no copyright]
103	103	103	TRUE	ANIMATION	C.M.	The Lord redeemeth the soul of his servants: and none of them that trust in him shall be desolate.—Ps. 34:22.	G Major	Charles Wesley, 1759.	The Sacred Harp, 1844. Alto S. M. Denson, 1911.	[no copyright]
104	104	104	TRUE	THE LOVELY STORY	8s D.	Now is my soul troubled; and what shall I say? Father, save me from this hour: but for this cause came I unto this hour.—John 12:27.	A Major	Mercer’s Cluster, 1810.	Arr. E. J. King, 1844. Alto Minnie Floyd, 1902.	[no copyright]
105	105	105	TRUE	JEWETT	C.M.	Being justified freely by his grace through the redemption that is in Christ Jesus.—Rom. 3:24.	F Major	John Newton, 1779.	R. F. M. Mann, 1858. Alto S. M. Denson, 1911.	[no copyright]
106	106	106	TRUE	ECSTASY	7s & 6s.	And I said, Oh that I had wings like a dove! for then would I fly away, and be at rest.—Ps. 55:6.	F♯ Minor	John Leland, 1793.	T. W. Carter, 1844. Alto W. M. Cooper, 1902.	[no copyright]
107	107	107	TRUE	RUSSIA	L.M.	The rock of my strength, and my refuge, is in God.—Ps. 62:7.	A Minor	Isaac Watts, 1719.	Daniel Read, 1787.	[no copyright]
108t	108.1	108.1	TRUE	WEEPING SINNERS	7s.	Blessed are they that mourn: for they shall be comforted.—Matt. 5:4.	C Major	Oliver Holden, 1806.	J. P. Rees, 1870. Alto W. M. Cooper, 1902.	[no copyright]
108b	108.2	108.2	TRUE	THE TRAVELER	7s.	How shall we escape, if we neglect so great salvation?—Heb. 2:3.	A Minor	William Bengo Collyer, 1829.	Arr. A. Ogletree, 1870.	[no copyright]
109	109	109	TRUE	CARNSVILLE	7,7,7,6 D.	Yea, Lord; thou knowest that I love thee.—John 21:15.	B♭ Major	Caleb Jarvis Taylor, 1815.	Arr. E. J. King, 1844. Second treble William Hauser, 1848.	[no copyright]
110	110	110	TRUE	MOUNT VERNON	L.M.D.	Render therefore to all their dues: tribute to whom tribute is due ... honour to whom honour.—Rom. 13:7.	E Minor	Theodore Dwight, 1799.	Stephen Jenks, 1799. Alto W. M. Cooper, 1902.	[no copyright]
111t	111.1	111.1	TRUE	JOURNEY HOME	L.M.H.	I am filled with comfort, I am exceeding joyful in all our tribulation.—2 Cor. 7:4.	G Major	v. 1 Mead’s General Selection, 1807. v. 2–3 Isaac Watts, 1707.	R. F. M. Mann, 1868. Alto S. M. Denson, 1911.	[no copyright]
